epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.541,0.89077,1.62682,0.983,0.57869,0.38339,0.37168,0.29758,0.79443,0.71356,0.94299,0.0033304,0.0033304,0.0033304
2,775.482,0.57693,0.52624,0.86847,0.60282,0.71188,0.70508,0.57692,0.66925,0.51034,0.90333,0.00653179,0.00653179,0.00653179
3,1150.27,0.54085,0.45851,0.86172,0.82477,0.83165,0.8865,0.72176,0.78031,0.52995,0.97457,0.00960118,0.00960118,0.00960118
4,1519.22,0.46075,0.38257,0.84749,0.92164,0.91268,0.96039,0.79588,0.66825,0.39784,0.91426,0.009406,0.009406,0.009406
5,1892.19,0.39148,0.32261,0.8339,0.97307,0.94797,0.98041,0.85053,0.61858,0.33904,0.89658,0.009208,0.009208,0.009208
6,2260.59,0.35643,0.29234,0.82657,0.9562,0.94388,0.97508,0.81813,0.70718,0.35086,0.95034,0.00901,0.00901,0.00901
7,2629.53,0.33313,0.2743,0.82257,0.9794,0.96841,0.98838,0.88721,0.55335,0.29494,0.86742,0.008812,0.008812,0.008812
8,3005.55,0.31584,0.25848,0.8198,0.97562,0.96107,0.9882,0.87458,0.61068,0.3028,0.8947,0.008614,0.008614,0.008614
9,3382.53,0.3036,0.24825,0.81723,0.98064,0.96711,0.98834,0.8796,0.64886,0.30022,0.91382,0.008416,0.008416,0.008416
10,3750.34,0.29309,0.23789,0.81524,0.98191,0.97302,0.98832,0.86235,0.71229,0.31163,0.95629,0.008218,0.008218,0.008218
11,4118.04,0.28324,0.22938,0.8139,0.9838,0.97188,0.98942,0.88982,0.58384,0.27414,0.88879,0.00802,0.00802,0.00802
12,4495.51,0.27592,0.22416,0.81326,0.98651,0.97574,0.9885,0.89439,0.60401,0.27694,0.90282,0.007822,0.007822,0.007822
13,4871.47,0.27003,0.2181,0.81257,0.98743,0.97758,0.99049,0.86907,0.71911,0.2966,0.97158,0.007624,0.007624,0.007624
14,5242.6,0.26398,0.21212,0.81155,0.98697,0.9807,0.99068,0.88749,0.63329,0.27042,0.92152,0.007426,0.007426,0.007426
15,5611.84,0.25944,0.20877,0.81057,0.98394,0.97967,0.99051,0.88282,0.67008,0.27936,0.94761,0.007228,0.007228,0.007228
16,5979.08,0.25457,0.20341,0.80985,0.98846,0.98001,0.99142,0.89906,0.57761,0.2509,0.88948,0.00703,0.00703,0.00703
17,6348.87,0.25044,0.20147,0.8087,0.98695,0.97959,0.99157,0.89634,0.59748,0.25644,0.90184,0.006832,0.006832,0.006832
18,6717.78,0.24617,0.19748,0.80845,0.98984,0.98403,0.99249,0.90944,0.52816,0.2371,0.86398,0.006634,0.006634,0.006634
