epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.134,1.2476,1.64402,1.05895,0.92573,0.86465,0.90291,0.60326,1.10732,0.86267,0.99139,0.000665359,0.000665359,0.000665359
2,369.284,1.18746,0.90145,1.02581,0.91163,0.86862,0.90573,0.60257,1.07378,0.74222,0.99194,0.00130565,0.00130565,0.00130565
3,547.393,1.13574,0.76696,1.01366,0.92093,0.87089,0.92224,0.63745,1.03083,0.65364,0.96623,0.00191954,0.00191954,0.00191954
4,722.405,1.12471,0.72476,1.00666,0.91156,0.88023,0.92834,0.64299,1.00879,0.63968,0.96818,0.0018812,0.0018812,0.0018812
5,897.346,1.08893,0.69355,0.99708,0.92369,0.88733,0.93409,0.6576,0.98114,0.58455,0.94484,0.0018416,0.0018416,0.0018416
6,1066.92,1.05988,0.66544,0.9942,0.91521,0.87854,0.92862,0.65018,0.96453,0.61663,0.94729,0.001802,0.001802,0.001802
7,1238.24,1.03976,0.63966,0.98204,0.92772,0.89856,0.93788,0.68013,0.94135,0.55926,0.94493,0.0017624,0.0017624,0.0017624
8,1412.49,1.01166,0.61652,0.97379,0.93895,0.89976,0.94364,0.66306,0.95317,0.56563,0.94041,0.0017228,0.0017228,0.0017228
9,1586.63,1.01074,0.60358,0.97069,0.92369,0.89856,0.94151,0.68646,0.92752,0.54686,0.92754,0.0016832,0.0016832,0.0016832
10,1765.8,0.99109,0.59881,0.96584,0.92173,0.90185,0.94332,0.69417,0.90157,0.53937,0.92739,0.0016436,0.0016436,0.0016436
11,1943.17,0.97255,0.58289,0.95768,0.92601,0.89326,0.94282,0.68535,0.90449,0.5349,0.92254,0.001604,0.001604,0.001604
12,2115.95,0.96768,0.57146,0.95261,0.92557,0.91339,0.95031,0.68878,0.90238,0.52042,0.91779,0.0015644,0.0015644,0.0015644
13,2293.38,0.95927,0.57047,0.95325,0.93368,0.90315,0.95075,0.70837,0.87652,0.51132,0.91745,0.0015248,0.0015248,0.0015248
14,2464.27,0.94281,0.55309,0.95245,0.93084,0.90297,0.95043,0.7097,0.86945,0.5097,0.91736,0.0014852,0.0014852,0.0014852
15,2636.52,0.94235,0.55059,0.94858,0.93581,0.89856,0.95082,0.70959,0.87465,0.50647,0.91509,0.0014456,0.0014456,0.0014456
16,2808.26,0.94462,0.54815,0.95055,0.92697,0.90938,0.95538,0.71901,0.85138,0.48887,0.91062,0.001406,0.001406,0.001406
17,2983.96,0.9311,0.53533,0.94357,0.93049,0.90377,0.95338,0.71459,0.85391,0.4921,0.91153,0.0013664,0.0013664,0.0013664
18,3161.87,0.9183,0.52693,0.93832,0.93635,0.9154,0.95514,0.71609,0.84818,0.48222,0.90751,0.0013268,0.0013268,0.0013268
19,3334.5,0.92312,0.53532,0.94041,0.92732,0.91099,0.95205,0.71818,0.84684,0.48826,0.90915,0.0012872,0.0012872,0.0012872
20,3510.15,0.90951,0.51723,0.94213,0.93697,0.9186,0.95657,0.71292,0.86032,0.49003,0.90874,0.0012476,0.0012476,0.0012476
21,3681.28,0.91576,0.53217,0.94104,0.91562,0.9181,0.9501,0.71738,0.8359,0.50536,0.90612,0.001208,0.001208,0.001208
22,3857.23,0.89549,0.51908,0.93201,0.93208,0.91179,0.95813,0.72387,0.83149,0.4804,0.90509,0.0011684,0.0011684,0.0011684
23,4034.23,0.89221,0.50881,0.93815,0.93034,0.90658,0.95251,0.71832,0.83105,0.47097,0.89998,0.0011288,0.0011288,0.0011288
24,4211.69,0.89545,0.50703,0.93813,0.93848,0.9178,0.95746,0.72345,0.83359,0.46497,0.90348,0.0010892,0.0010892,0.0010892
25,4381.57,0.88551,0.4998,0.9329,0.9327,0.91683,0.95809,0.73612,0.81423,0.45581,0.90524,0.0010496,0.0010496,0.0010496
26,4559.77,0.87908,0.493,0.93328,0.93143,0.91981,0.9535,0.71724,0.81415,0.46296,0.90267,0.00101,0.00101,0.00101
27,4738.84,0.87692,0.48587,0.9308,0.93731,0.90297,0.95628,0.7311,0.81295,0.4479,0.90169,0.0009704,0.0009704,0.0009704
